query_num,query_name,initial_cost,final_cost,absolute_reduction,percent_reduction,magnitude
1,Q1,28128.111,57364.336,-29236.225000000002,-103.93952512488308,4
2,Q2,2.502958e+27,2.5198846e+27,-1.6926599999999838e+25,-0.6762638446190403,27
3,Q3,35436200000.0,35651580000.0,-215380000.0,-0.6077965470338241,10
4,Q4,52110.47,85778.67,-33668.2,-64.60928101396897,4
5,Q5,4.913813e+19,4.9149436e+19,-1.1306e+16,-0.023008608589704167,19
6,Q6,17958.207,28897.121,-10938.914,-60.913174683864604,4
7,Q7,5.0314906e+19,5.0363e+19,-4.8094e+16,-0.09558598797739978,19
8,Q8,6.2104805e+25,6.2108573e+25,-3.7680000000009416e+21,-0.006067163402253565,25
9,Q9,5.207447e+19,5.2146683e+19,-7.22130000000041e+16,-0.13867255874136425,19
10,Q10,39213236000000.0,39402504000000.0,-189268000000.0,-0.48266355778441744,13
11,Q11,37588554000.0,38852465000.0,-1263911000.0,-3.3624890172683948,10
12,Q12,27565862.0,27776408.0,-210546.0,-0.7637925489143057,7
13,Q13,4840745.5,5715669.5,-874924.0,-18.07415820559044,6
14,Q14,29172502.0,30031940.0,-859438.0,-2.9460551583816845,7
15,Q15,0.21000001,0.63,-0.41999999,-199.99998571428642,0
16,Q16,26056468.0,34667932.0,-8611464.0,-33.04923752520871,7
17,Q17,36120883000.0,39722242000.0,-3601359000.0,-9.97029613035761,10
18,Q18,54558280000.0,57333494000.0,-2775214000.0,-5.086696281481014,10
19,Q19,34976370.0,36626800.0,-1650430.0,-4.718700082369897,7
22,Q22,107983.266,202339.36,-94356.09399999998,-87.38029279462614,5
