Query,Custo_Inicial,Custo_Final,Reducao_Absoluta,Reducao_Percentual
Q1,28128.111,14618.112,13509.999000000002,48.030239215139616
Q2,2.502958e+27,99146.39,2.502958e+27,100.0
Q3,35436200000.0,22157.16,35436177842.84,99.99993747309249
Q4,52110.47,9412.734,42697.736000000004,81.93696199631285
Q5,4.913813e+19,27351.363,4.9138129999999975e+19,99.99999999999994
Q6,17958.207,5469.4575,12488.749499999998,69.54340987382537
Q7,5.0314906e+19,22097.984,5.0314905999999975e+19,99.99999999999996
Q8,6.2104805e+25,37279.418,6.2104805e+25,100.0
Q9,5.207447e+19,33519.906,5.207446999999997e+19,99.99999999999993
Q10,39213236000000.0,25337.281,39213235974662.72,99.9999999353859
Q11,37588554000.0,31861.496,37588522138.504,99.99991523617535
Q12,27565862.0,9076.412,27556785.588,99.9670737232886
Q13,4840745.5,7853.546,4832891.954,99.83776164229249
Q14,29172502.0,9406.975,29163095.025,99.96775396570372
Q15,29049016.0,29854.697,29019161.303,99.89722647748206
Q16,26056468.0,29108.352,26027359.648,99.8882874225317
Q17,36120883000.0,112654.83,36120770345.17,99.99968811717586
Q18,54558280000.0,26530.621,54558253469.379,99.99995137196224
Q19,34976370.0,23419.27,34952950.73,99.93304259418572
Q20,491925120.0,1130161.9,490794958.1,99.77025733103446
Q21,91870570000000.0,28986.838,91870569971013.16,99.99999996844818
Q22,107983.266,17342.803,90640.463,83.93936056721975
